Province_State,Country_Region,Active,Confirmed,Recovered,Deaths,Death Rate,Confirmed/100k,Last_Update,Lat,Long_
Anhui,China,0.0,991,985,6,0.006054490413723511,2.0,2020-08-08 04:34:53,31.8257,117.2264
Beijing,China,6.0,935,920,9,0.009625668449197862,4.0,2020-08-08 04:34:53,40.1824,116.4142
Chongqing,China,0.0,583,577,6,0.010291595197255575,2.0,2020-08-08 04:34:53,30.0572,107.874
Fujian,China,3.0,367,363,1,0.0027247956403269754,1.0,2020-08-08 04:34:53,26.0789,117.9874
Gansu,China,0.0,167,165,2,0.011976047904191617,1.0,2020-08-08 04:34:53,35.7518,104.2861
Guangdong,China,16.0,1688,1664,8,0.004739336492890996,2.0,2020-08-08 04:34:53,23.3417,113.4244
Guangxi,China,0.0,255,253,2,0.00784313725490196,0.0,2020-08-08 04:34:53,23.8298,108.7881
Guizhou,China,0.0,147,145,2,0.013605442176870748,0.0,2020-08-08 04:34:53,26.8154,106.8748
Hainan,China,0.0,171,165,6,0.03508771929824561,6.0,2020-08-08 04:34:53,19.1959,109.7453
Hebei,China,0.0,349,343,6,0.017191977077363897,1.0,2020-08-08 04:34:53,37.8957,114.9042
Heilongjiang,China,0.0,947,934,13,0.013727560718057022,3.0,2020-08-08 04:34:53,47.862,127.7615
Henan,China,0.0,1276,1254,22,0.017241379310344827,1.0,2020-08-08 04:34:53,33.882,113.614
Hong Kong,China,1271.0,3938,2620,47,0.011934992381919756,53.0,2020-08-08 04:34:53,22.3,114.2
Hubei,China,4.0,68139,63623,4512,0.0662175846431559,114.0,2020-08-08 04:34:53,30.9756,112.2707
Hunan,China,0.0,1019,1015,4,0.003925417075564278,1.0,2020-08-08 04:34:53,27.6104,111.7088
Inner Mongolia,China,10.0,258,247,1,0.003875968992248062,1.0,2020-08-08 04:34:53,44.0935,113.9448
Jiangsu,China,5.0,659,654,0,0.0,1.0,2020-08-08 04:34:53,32.9711,119.455
Jiangxi,China,0.0,932,931,1,0.001072961373390558,2.0,2020-08-08 04:34:53,27.614,115.7221
Jilin,China,1.0,157,154,2,0.012738853503184714,1.0,2020-08-08 04:34:53,43.6661,126.1923
Liaoning,China,89.0,259,168,2,0.007722007722007722,1.0,2020-08-08 04:34:53,41.2956,122.6085
Macau,China,0.0,46,46,0,0.0,7.0,2020-08-08 04:34:53,22.1667,113.55
Ningxia,China,0.0,75,75,0,0.0,1.0,2020-08-08 04:34:53,37.2692,106.1655
Qinghai,China,0.0,18,18,0,0.0,0.0,2020-08-08 04:34:53,35.7452,95.9956
Shaanxi,China,7.0,328,318,3,0.009146341463414634,1.0,2020-08-08 04:34:53,35.1917,108.8701
Shandong,China,11.0,806,788,7,0.008684863523573201,1.0,2020-08-08 04:34:53,36.3427,118.1498
Shanghai,China,30.0,766,729,7,0.009138381201044387,3.0,2020-08-08 04:34:53,31.202,121.4491
Shanxi,China,0.0,201,201,0,0.0,1.0,2020-08-08 04:34:53,37.5777,112.2922
Sichuan,China,9.0,611,599,3,0.004909983633387889,1.0,2020-08-08 04:34:53,30.6171,102.7103
Tianjin,China,5.0,205,197,3,0.014634146341463415,1.0,2020-08-08 04:34:53,39.3054,117.323
Tibet,China,0.0,1,1,0,0.0,0.0,2020-08-08 04:34:53,31.6927,88.0924
Xinjiang,China,640.0,824,181,3,0.0036407766990291263,4.0,2020-08-08 04:34:53,41.1129,85.2401
Yunnan,China,2.0,191,187,2,0.010471204188481676,0.0,2020-08-08 04:34:53,24.974,101.487
Zhejiang,China,2.0,1271,1268,1,0.0007867820613690008,2.0,2020-08-08 04:34:53,29.1832,120.0934
